name,code,link,source,color_hex,color_r,color_g,color_b
Alpine Snow,39C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:39C-1|,clarkkensington,#dfe3e9,223,227,233
Designer White,1066,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:1066|,clarkkensington,#eaedec,234,237,236
Silent White,CW-C1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C1|,clarkkensington,#efefe7,239,239,231
Antique White,CW-W7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W7|,clarkkensington,#efeadd,239,234,221
Chalk,CW-C2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C2|,clarkkensington,#efede4,239,237,228
Linen,CW-W6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W6|,clarkkensington,#f5f1e4,245,241,228
Behind The Shadow,2026,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2026|,clarkkensington,#ede9df,237,233,223
Natural White,CW-W1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W1|,clarkkensington,#eae2d8,234,226,216
Swiss Coffee,CW-W3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W3|,clarkkensington,#f1ebde,241,235,222
Bone White,CW-W2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W2|,clarkkensington,#e9e2d6,233,226,214
Stormy Weather,CW-C7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C7|,clarkkensington,#e0e0d7,224,224,215
Light Navajo White,CW-W8,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W8|,clarkkensington,#ede3d1,237,227,209
Stolen Moments,1036,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:1036|,clarkkensington,#d7dfdf,215,223,223
Ship's Sail,1056,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:1056|,clarkkensington,#e0e7e8,224,231,232
Flirtation,2036,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2036|,clarkkensington,#e8e7d6,232,231,214
Soft Spoken,2042,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2042|,clarkkensington,#e5e0d0,229,224,208
Sandpoint,2066,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:2066|,clarkkensington,#eae0c0,234,224,192
Puffy Shirt,3028,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:3028|,clarkkensington,#f1ecd7,241,236,215
Change Of Heart,3032,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:3032|,clarkkensington,#e2d7be,226,215,190
First Love,3048,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:3048|,clarkkensington,#efe8d2,239,232,210
Vanilla Latte,3062,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:3062|,clarkkensington,#eee9db,238,233,219
Optimism,4016,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:4016|,clarkkensington,#e7d9c1,231,217,193
Innocence,4026,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:4026|,clarkkensington,#eeead9,238,234,217
Rosewater,4036,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:4036|,clarkkensington,#f0e3d1,240,227,209
Crisp Linen,4052,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:4052|,clarkkensington,#eee5db,238,229,219
Pristine Satin,4056,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:4056|,clarkkensington,#e9dcd0,233,220,208
Finer Things,5012,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:5012|,clarkkensington,#f0e8da,240,232,218
Fairy Wings,5028,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:5028|,clarkkensington,#d5ccc5,213,204,197
Buttermilk Biscuit,5036,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:5036|,clarkkensington,#f0eae0,240,234,224
You're The Boss,5052,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:5052|,clarkkensington,#e7e5e4,231,229,228
Frost,CW-C3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C3|,clarkkensington,#e5e7e3,229,231,227
Illumination,CW-C5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C5|,clarkkensington,#eaebe4,234,235,228
Sandy White,CW-C8,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C8|,clarkkensington,#e8eae2,232,234,226
Cottage White,CW-W5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W5|,clarkkensington,#f8e9d0,248,233,208
Ivory,CW-W4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-W4|,clarkkensington,#f4ead9,244,234,217
White Opal,CW-C6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:classicwhite|colorchip:CW-C6|,clarkkensington,#e8e6db,232,230,219
Smooth Shale,EXTCC-50,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:EXTCC-50|,clarkkensington,#636b71,99,107,113
Quill Gray,EXTCC-52,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:EXTCC-52|,clarkkensington,#aab3ba,170,179,186
Before the Storm,EXTCC-53,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:EXTCC-53|,clarkkensington,#ccd1d4,204,209,212
Fog Rolls In,N-C13,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C13|,clarkkensington,#9b9fa0,155,159,160
Silver Glamour,N-C18,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C18|,clarkkensington,#c9c9cd,201,201,205
Falling Rain,N-C25,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C25|,clarkkensington,#dad0d3,218,208,211
Town Square,N-C29,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C29|,clarkkensington,#b3aaaa,179,170,170
Casual Elegance,N-C30,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C30|,clarkkensington,#a19398,161,147,152
Spanish Parador,N-C31,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C31|,clarkkensington,#887a78,136,122,120
Pebblestone,N-C5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C5|,clarkkensington,#8e8074,142,128,116
Caraway,N-C7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C7|,clarkkensington,#86786e,134,120,110
Tapenade,N-C8,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C8|,clarkkensington,#6a5f50,106,95,80
Captivation,WNCC-15,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-15|,clarkkensington,#dcd8cc,220,216,204
Dancing on Air,WNCC-17,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-17|,clarkkensington,#d9dee0,217,222,224
Serene Gray,WNCC-18,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-18|,clarkkensington,#e1dede,225,222,222
Cloud Forest,WNCC-19,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-19|,clarkkensington,#d2d0c1,210,208,193
Caribbean Breeze,WNCC-20,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-20|,clarkkensington,#ced7d7,206,215,215
Drifting Away,WNCC-21,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-21|,clarkkensington,#c0ccd2,192,204,210
Contemporary Cool,WNCC-22,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-22|,clarkkensington,#d1d6de,209,214,222
Dreamlike,WNCC-23,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-23|,clarkkensington,#d7d1d7,215,209,215
Chic Gray,WNCC-24,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-24|,clarkkensington,#8f8c85,143,140,133
Metropolis,WNCC-25,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-25|,clarkkensington,#788289,120,130,137
Graphite Gray,WNCC-26,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-26|,clarkkensington,#646b72,100,107,114
Smoke and Mirrors,WNCC-27,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-27|,clarkkensington,#9c9ca2,156,156,162
Luxe Lounge,WNCC-28,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-28|,clarkkensington,#8c8592,140,133,146
Coastal Pleasure,5048,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5048|,clarkkensington,#babab4,186,186,180
Anchors Away,5062,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5062|,clarkkensington,#919698,145,150,152
Garden Stone,N-C10,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C10|,clarkkensington,#cacbc8,202,203,200
After the Rain,N-C11,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C11|,clarkkensington,#b6b8b6,182,184,182
Mysterious Gray,N-C19,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C19|,clarkkensington,#afa9a9,175,169,169
Late Night Serenade,N-C21,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C21|,clarkkensington,#737378,115,115,120
Cobblestone Street,N-C23,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C23|,clarkkensington,#756f71,117,111,113
Black Truffle,N-C24,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C24|,clarkkensington,#413e42,65,62,66
Silk and Satin,N-C27,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C27|,clarkkensington,#cac6c6,202,198,198
Midnight Stroll,N-C16,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C16|,clarkkensington,#41403f,65,64,63
Abstract Gray,N-C26,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C26|,clarkkensington,#d2cac9,210,202,201
Smokey Taupe,N-C6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C6|,clarkkensington,#958a78,149,138,120
Afternoon Drizzle,N-C28,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C28|,clarkkensington,#ccc0c4,204,192,196
Haven of Coziness,N-C1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C1|,clarkkensington,#c9c1b0,201,193,176
Outdoor Café,1064,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:1064|,clarkkensington,#b0b6b2,176,182,178
Breezy Days,1068,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:1068|,clarkkensington,#8c9695,140,150,149
Old Plank Trail,2048,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:2048|,clarkkensington,#968d76,150,141,118
Baby Elephant,3052,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:3052|,clarkkensington,#9c958a,156,149,138
Smooth Slate,5042,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5042|,clarkkensington,#6b6c6c,107,108,108
Ominous Cloud,5044,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5044|,clarkkensington,#8c8982,140,137,130
Oyster Pearl,5046,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5046|,clarkkensington,#c9c7c1,201,199,193
Winter Chill,5064,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5064|,clarkkensington,#b2aeab,178,174,171
Noble Gray,5066,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:5066|,clarkkensington,#64696e,100,105,110
Black Chiffon,N-C15,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C15|,clarkkensington,#4d4f50,77,79,80
Trench Coat,N-C4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C4|,clarkkensington,#978b81,151,139,129
Sheer Mist,N-C9,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C9|,clarkkensington,#d3d6d6,211,214,214
English Castle,N-C20,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C20|,clarkkensington,#969ca0,150,156,160
Smokey Eyes,N-C22,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C22|,clarkkensington,#6e7378,110,115,120
Stone Fireplace,N-C12,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C12|,clarkkensington,#acb0af,172,176,175
Charcoal Cashmere,N-C14,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C14|,clarkkensington,#777673,119,118,115
So Sophisticated,N-C17,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C17|,clarkkensington,#c4c9cd,196,201,205
Play it Cool,N-C2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C2|,clarkkensington,#b2aa99,178,170,153
Adobe Hut,N-C3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C3|,clarkkensington,#9f9184,159,145,132
Strong Influence,N-C32,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:N-C32|,clarkkensington,#514948,81,73,72
Chance of Rain,WNCC-16,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:coolneutral|colorchip:WNCC-16|,clarkkensington,#d0cdc7,208,205,199
Sahara Desert,EXTCC-01,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-01|,clarkkensington,#dbcbb9,219,203,185
Brazilian Coffee,EXTCC-02,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-02|,clarkkensington,#544845,84,72,69
Flying Falcon,EXTCC-04,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-04|,clarkkensington,#a6978e,166,151,142
Coast to Coast,EXTCC-06,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-06|,clarkkensington,#bcb0a4,188,176,164
Sandy Beach,EXTCC-07,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-07|,clarkkensington,#d9d0bf,217,208,191
Ashwood Oak,EXTCC-08,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-08|,clarkkensington,#998068,153,128,104
Chestnut Brown,EXTCC-11,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-11|,clarkkensington,#5e4a45,94,74,69
Sandbar,EXTCC-12,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-12|,clarkkensington,#cfc5b8,207,197,184
Gravel Path,EXTCC-14,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-14|,clarkkensington,#a39284,163,146,132
Summer Haze,EXTCC-15,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-15|,clarkkensington,#e3d4b7,227,212,183
Sonoran Desert,EXTCC-17,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-17|,clarkkensington,#cfba99,207,186,153
Pacara Wood,EXTCC-18,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-18|,clarkkensington,#8d765c,141,118,92
Quiet Cove,EXTCC-23,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-23|,clarkkensington,#d3ad91,211,173,145
Canyon Hike,EXTCC-28,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-28|,clarkkensington,#9b7867,155,120,103
Vintage Navajo,EXTCC-29,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-29|,clarkkensington,#e1d4bb,225,212,187
Desert Clay,EXTCC-30,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-30|,clarkkensington,#cbb7a2,203,183,162
Tunisian Sunset,EXTCC-31,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-31|,clarkkensington,#e6c6ae,230,198,174
Spanish Clay,EXTCC-32,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-32|,clarkkensington,#9e6a46,158,106,70
No Place Like Home,EXTCC-34,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-34|,clarkkensington,#ebdecd,235,222,205
Natural Gold,EXTCC-39,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-39|,clarkkensington,#c1a57e,193,165,126
Warm Woods,EXTCC-41,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-41|,clarkkensington,#7c6543,124,101,67
Autumnal,EXTCC-42,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-42|,clarkkensington,#a48e6d,164,142,109
Tuscan Sun,EXTCC-44,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-44|,clarkkensington,#d9ba89,217,186,137
Silver Oak,EXTCC-45,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-45|,clarkkensington,#c4bdb5,196,189,181
Misty Mountain,EXTCC-47,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-47|,clarkkensington,#a89a8e,168,154,142
Chester Leather,EXTCC-48,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-48|,clarkkensington,#5d514a,93,81,74
Welcome Home,EXTCC-56,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-56|,clarkkensington,#a29488,162,148,136
Michigan Maple,EXTCC-57,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:EXTCC-57|,clarkkensington,#715142,113,81,66
Luxury Beige,N-W1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:N-W1|,clarkkensington,#c7b9b7,199,185,183
Fresh Baquette,N-W11,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:N-W11|,clarkkensington,#d4af8d,212,175,141
Riviera Maya,N-W14,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:N-W14|,clarkkensington,#a56e4b,165,110,75
Meditation,N-W2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:N-W2|,clarkkensington,#b6a7a7,182,167,167
Celery Salt,N-W27,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:N-W27|,clarkkensington,#b7a481,183,164,129
Candied Ginger,N-W28,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:warmneutral|colorchip:N-W28|,clarkkensington,#b8a07b,184,160,123
