name,code,link,source,color_hex,color_r,color_g,color_b
Scrumptious Peach,11D-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:11D-3|,clarkkensington,#f9d9c0,249,217,192
Clementine,11D-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:11D-4|,clarkkensington,#fab087,250,176,135
Carnivale in Brazil,11D-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:11D-5|,clarkkensington,#eb723d,235,114,61
Café con Leche,12A-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12A-1|,clarkkensington,#f2e0d3,242,224,211
Cashew Butter,12A-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12A-2|,clarkkensington,#edcab1,237,202,177
Mocha Blend,12A-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12A-3|,clarkkensington,#dfac89,223,172,137
Desert Sun,12A-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12A-4|,clarkkensington,#c5845c,197,132,92
Vivid Sunset,12A-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12A-5|,clarkkensington,#a96847,169,104,71
Delicate Porcelain,12B-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12B-1|,clarkkensington,#f6e8db,246,232,219
Make Me Laugh,12B-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12B-3|,clarkkensington,#f6d2bd,246,210,189
Sun Goes Down,12B-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12B-4|,clarkkensington,#f1bc9f,241,188,159
Glazed Peach,12B-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12B-5|,clarkkensington,#eaaa8a,234,170,138
Cosmic Sunset,12B-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12B-6|,clarkkensington,#da8862,218,136,98
Paper Lantern,12C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12C-1|,clarkkensington,#f6ecdd,246,236,221
Regenerate,12C-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12C-2|,clarkkensington,#f8e0cb,248,224,203
Sunset Glow,12C-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12C-3|,clarkkensington,#fad7bc,250,215,188
Tart Tangerine,12C-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12C-5|,clarkkensington,#f4b188,244,177,136
Daring Orange,12C-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:orange|colorchip:12C-7|,clarkkensington,#dd7143,221,113,67
