name,code,link,source,color_hex,color_r,color_g,color_b
Atmospheric,V175,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/atmospheric-v175,valspar,#e8e9e0,232,233,224
Warm Milk,8007-8B,https://www.valspar.com/en/colors/browse-colors/lowes/white/warm-milk-8007-8b,valspar,#f6f0e2,246,240,226
Over the Moon,V181,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/over-the-moon-v181,valspar,#e8e1da,232,225,218
Quail Egg,7002-12,https://www.valspar.com/en/colors/browse-colors/lowes/white/quail-egg-7002-12,valspar,#eae2d5,234,226,213
Mink Frost,V183,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/mink-frost-v183,valspar,#dfd9d2,223,217,210
Cream in My Coffee,3003-10C,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/cream-in-my-coffee-3003-10c,valspar,#e6dccc,230,220,204
Nice and Easy,V168,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/nice-and-easy-v168,valspar,#efe4d5,239,228,213
Hopsack,3003-10B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/hopsack-3003-10b,valspar,#d1beaa,209,190,170
Gentle Lamb,V177,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/gentle-lamb-v177,valspar,#e3d8c8,227,216,200
Desert Fortress,2008-10B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/desert-fortress-2008-10b,valspar,#dacab9,218,202,185
Secluded Beach,V146-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/secluded-beach-v146-1,valspar,#d3cfc2,211,207,194
Frappe,6003-1B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/frappe-6003-1b,valspar,#bdb6aa,189,182,170
Sandy Trail,V134-3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/sandy-trail-v134-3,valspar,#c8b59d,200,181,157
Classic Khaki,8004-18B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/classic-khaki-8004-18b,valspar,#e2cfb2,226,207,178
Safari Map,V131-1,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/safari-map-v131-1,valspar,#e8d7c8,232,215,200
Faint Maple,2008-9C,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/faint-maple-2008-9c,valspar,#b49d88,180,157,136
Dairy Belle,V164,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/dairy-belle-v164,valspar,#f6eddc,246,237,220
Gallery Grey,2006-10B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/gallery-grey-2006-10b,valspar,#c2b5a7,194,181,167
Skylark,V134-5,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/skylark-v134-5,valspar,#95806a,149,128,106
Sheepskin Rug,8004-20B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/sheepskin-rug-8004-20b,valspar,#d1c5b0,209,197,176
Puppy Love,V131-4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/puppy-love-v131-4,valspar,#bba592,187,165,146
