name,code,link,source,color_hex,color_r,color_g,color_b
Springtime Bloom,2079-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2079-40/springtime-bloom,benjaminmoore,#e47da7,228,125,167
Peony,2079-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2079-30/peony,benjaminmoore,#c84470,200,68,112
Blushing Red,2079-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2079-20/blushing-red,benjaminmoore,#b83153,184,49,83
Candy Cane Red,2079-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2079-10/candy-cane-red,benjaminmoore,#aa253c,170,37,60
Aztec Lily,2080-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-70/aztec-lily,benjaminmoore,#f8e1e7,248,225,231
Rose Garden,1353,https://www.benjaminmoore.com/en-us/paint-colors/color/1353/rose-garden,benjaminmoore,#f3d1db,243,209,219
Strawberry,2085-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2085-50/strawberry,benjaminmoore,#e4acc0,228,172,192
Paradise Pink,2078-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2078-40/paradise-pink,benjaminmoore,#dc85a6,220,133,166
Royal Fuchsia,2078-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2078-30/royal-fuchsia,benjaminmoore,#bd5070,189,80,112
Raspberry Glaze,2078-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2078-20/raspberry-glaze,benjaminmoore,#ac3d58,172,61,88
Night Flower,1344,https://www.benjaminmoore.com/en-us/paint-colors/color/1344/night-flower,benjaminmoore,#963f50,150,63,80
Pink Innocence,2082-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-60/pink-innocence,benjaminmoore,#e9ccd4,233,204,212
Damask Rose,2082-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-50/damask-rose,benjaminmoore,#d6acb8,214,172,184
Rosewood,2082-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-40/rosewood,benjaminmoore,#b77f8c,183,127,140
Cherokee Brick,2082-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-30/cherokee-brick,benjaminmoore,#8c5059,140,80,89
Modern Romance,CSP-435,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-435/modern-romance,benjaminmoore,#83434f,131,67,79
Plum Raisin,2082-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-20/plum-raisin,benjaminmoore,#7c4547,124,69,71
Ruby Dusk,1267,https://www.benjaminmoore.com/en-us/paint-colors/color/1267/ruby-dusk,benjaminmoore,#6d4243,109,66,67
50's Pink,2086-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-70/s-pink,benjaminmoore,#fbe3ea,251,227,234
Posy Pink,2080-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-60/posy-pink,benjaminmoore,#f3c9d7,243,201,215
Bayberry,2080-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-50/bayberry,benjaminmoore,#e6a7bc,230,167,188
Taste of Berry,2085-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2085-40/taste-of-berry,benjaminmoore,#cb7e95,203,126,149
Gypsy Love,2085-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2085-30/gypsy-love,benjaminmoore,#a64e5d,166,78,93
Dinner Party,AF-300,https://www.benjaminmoore.com/en-us/paint-colors/color/af-300/dinner-party,benjaminmoore,#763637,118,54,55
Cottage Red,HC-184,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-184/cottage-red,benjaminmoore,#662a25,102,42,37
Baby Pink,2085-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2085-70/baby-pink,benjaminmoore,#f8e3e8,248,227,232
Rosy Glow,2084-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-50/rosy-glow,benjaminmoore,#eaaebe,234,174,190
Wild Pink,2080-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-40/wild-pink,benjaminmoore,#d07991,208,121,145
Cherry Wine,2080-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-30/cherry-wine,benjaminmoore,#ad485b,173,72,91
Patriot Red,2080-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-20/patriot-red,benjaminmoore,#9e3b45,158,59,69
Raspberry Truffle,2080-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2080-10/raspberry-truffle,benjaminmoore,#923538,146,53,56
Classic Burgundy,HC-182,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-182/classic-burgundy,benjaminmoore,#69181a,105,24,26
Flush Pink,2081-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-70/flush-pink,benjaminmoore,#f8e7ea,248,231,234
Sweet Taffy,2086-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-60/sweet-taffy,benjaminmoore,#facddd,250,205,221
Blushing Bride,2086-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-50/blushing-bride,benjaminmoore,#f5abc5,245,171,197
Deep Carnation,2086-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-40/deep-carnation,benjaminmoore,#e97b9d,233,123,157
Rosy Blush,2086-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-30/rosy-blush,benjaminmoore,#cf4566,207,69,102
Drop Dead Gorgeous,1329,https://www.benjaminmoore.com/en-us/paint-colors/color/1329/drop-dead-gorgeous,benjaminmoore,#bb4254,187,66,84
Fuchsine,1343,https://www.benjaminmoore.com/en-us/paint-colors/color/1343/fuchsine,benjaminmoore,#ad364e,173,54,78
Ballerina Pink,2082-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2082-70/ballerina-pink,benjaminmoore,#f3e2e6,243,226,230
Pink Lace,2081-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-60/pink-lace,benjaminmoore,#f5d4dc,245,212,220
Pink Ruffle,2081-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-50/pink-ruffle,benjaminmoore,#edb6c3,237,182,195
Pink Blossom,2081-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-40/pink-blossom,benjaminmoore,#dc8c9b,220,140,155
Vibrant Blush,2081-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-30/vibrant-blush,benjaminmoore,#be5a67,190,90,103
Sultan's Palace,2081-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-20/sultans-palace,benjaminmoore,#ae4853,174,72,83
Burnt Peanut Red,2081-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2081-10/burnt-peanut-red,benjaminmoore,#a14048,161,64,72
Gentle Blush,2084-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-70/gentle-blush,benjaminmoore,#fae4e8,250,228,232
Early Sunrise,2084-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-60/early-sunrise,benjaminmoore,#f6cfd9,246,207,217
Precious Pink,2084-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-40/precious-pink,benjaminmoore,#d48295,212,130,149
Rouge,2084-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-30/rouge,benjaminmoore,#b2525d,178,82,93
Maple Leaf Red,2084-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-20/maple-leaf-red,benjaminmoore,#914443,145,68,67
Brick Red,2084-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-10/brick-red,benjaminmoore,#793b31,121,59,49
Arroyo Red,2085-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2085-10/arroyo-red,benjaminmoore,#6e3731,110,55,49
Peppermint,1359,https://www.benjaminmoore.com/en-us/paint-colors/color/1359/peppermint,benjaminmoore,#f2dcde,242,220,222
Pink Dynasty,1352,https://www.benjaminmoore.com/en-us/paint-colors/color/1352/pink-dynasty,benjaminmoore,#f3d6da,243,214,218
Tara,1270,https://www.benjaminmoore.com/en-us/paint-colors/color/1270/tara,benjaminmoore,#e5b6bf,229,182,191
